Fraction_Size	Depth	Lakes_names	Assembly	 contigs (>= 0 bp)	 contigs (>= 1000 bp)	 contigs (>= 5000 bp)	 contigs (>= 10000 bp)	 contigs (>= 25000 bp)	 contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	 contigs	Largest contig	Total length	N50	N90	auN	L50	L90	 N's per 100 kbp
S	E	AMAD	AMADE-SM-01apr22.megahit.nv.contigs	1774485	278227	20575	7829	2000	586	1422483503	732403262	273249915	186992477	99774841	51768210	792484	627298	1083887187	1640	611	10482.1	126503	596154	0.00
S	E	AMAD	AMADE-SM-06sep21.megahit.nv.contigs	1831137	260435	26462	9745	2388	701	1456220315	772296056	342722628	228665160	119118452	61829226	730327	387810	1091860555	2019	619	11721.3	94570	533787	0.00
S	H	AMAD	AMADH-SM-01apr22.megahit.nv.contigs	1703800	245658	24012	8961	2364	752	1355122538	728366767	320167161	217617816	118699919	63605321	661876	371335	1012485198	2082	628	11877.9	85397	480871	0.00
S	H	AMAD	AMADH-SM-06sep21.megahit.nv.contigs	2239190	287218	27548	10061	2332	575	1613386407	818870333	341216073	221889363	107127806	47862728	766921	540453	1146220064	1979	624	9729.1	106460	561387	0.00
			
S	E	ARCA	ARCAE-SM-04apr22.megahit.nv.contigs	933818	116353	16280	7655	2152	664	804189245	434852061	254290040	194390437	110458707	59846803	380165	424096	611790154	2759	611	18352.0	30515	269224	0.00
S	E	ARCA	ARCAE-SM-08sep21.megahit.nv.contigs	1884270	221931	24652	10074	2640	784	1456414666	696817103	339507461	239450069	128456828	65127312	773809	387732	1066607296	1778	591	11845.4	94729	577136	0.00
S	H	ARCA	ARCAH-SM-04apr22.megahit.nv.contigs	682001	98703	16643	7132	1806	630	654752104	401771896	243961062	178056036	98557750	58508543	265890	992384	514515534	4309	658	22693.7	19512	175755	0.00
S	H	ARCA	ARCAH-SM-08sep21.megahit.nv.contigs	1719253	231472	24733	9462	2143	669	1384387622	692327835	324331703	218764007	111121736	61108933	753099	612885	1044417645	1737	599	12063.8	98072	561708	0.00
			
S	E	ATTR	ATTRE-SM-16jul20.megahit.nv.contigs	3106386	395746	33132	10043	1556	329	2168995837	1009547856	346880903	190424330	67675777	26389504	1151692	263098	1523120662	1597	602	5787.9	195713	873371	0.00
S	E	ATTR	ATTRE-SM-26apr22.megahit.nv.contigs	3145657	477651	36685	10382	1734	402	2418861371	1183384516	375738576	198823230	74477604	29916300	1405567	199068	1813395342	1534	599	5182.6	250755	1073640	0.00
L	H	ATTR	ATTRH-LM-16jul20.megahit.nv.contigs	3191994	375758	24005	8022	2221	634	2222291955	916770643	301227184	193986442	107931826	53567914	1335537	816465	1564268648	1247	578	7641.7	254414	1044097	0.00
S	H	ATTR	ATTRH-SM-16jul20.megahit.nv.contigs	3386601	369153	32450	12187	3236	965	2244484025	1037434059	429414635	291503765	158298830	80744047	1062999	698699	1509829136	1789	613	10805.2	151940	789472	0.00
