Fraction_Size,Depth,Lakes_names,Assembly, contigs (>= 10000 bp),Total length (>= 10000 bp), contigs,Largest contig,Total length,N50,archaea,bacteria,eukarya,organelle,prokarya,unknown,mitochondrion,plastid
S,E,AMAD,AMADE-SM-01apr22,7829.0,186992477.0,792484.0,627298.0,1083887187.0,1640.0,1084.0,36549,7094,536,389.0,540,130,399
S,E,AMAD,AMADE-SM-06sep21,9745.0,228665160.0,730327.0,387810.0,1091860555.0,2019.0,1796.0,38018,12126,480,663.0,955,85,383
S,H,AMAD,AMADH-SM-01apr22,8961.0,217617816.0,661876.0,371335.0,1012485198.0,2082.0,2202.0,42711,3103,353,704.0,958,102,243
S,H,AMAD,AMADH-SM-06sep21,10061.0,221889363.0,766921.0,540453.0,1146220064.0,1979.0,2462.0,49624,4186,332,710.0,643,57,271
S,E,ARCA,ARCAE-SM-04apr22,7655.0,194390437.0,380165.0,424096.0,611790154.0,2759.0,1028.0,16547,8881,297,269.0,708,85,197
S,E,ARCA,ARCAE-SM-08sep21,10074.0,239450069.0,773809.0,387732.0,1066607296.0,1778.0,2069.0,20955,20313,2375,438.0,1351,448,1841
S,H,ARCA,ARCAH-SM-04apr22,7132.0,178056036.0,265890.0,992384.0,514515534.0,4309.0,875.0,17086,9423,201,284.0,692,43,146
S,H,ARCA,ARCAH-SM-08sep21,9462.0,218764007.0,753099.0,612885.0,1044417645.0,1737.0,1954.0,23263,19257,462,560.0,1150,133,317
S,E,ATTR,ATTRE-SM-16jul20,10043.0,190424330.0,1151692.0,263098.0,1523120662.0,1597.0,4021.0,35201,31264,1323,874.0,2477,298,986
S,E,ATTR,ATTRE-SM-26apr22,10382.0,198823230.0,1405567.0,199068.0,1813395342.0,1534.0,3022.0,26669,50794,2896,877.0,3342,1202,1625
L,H,ATTR,ATTRH-LM-16jul20,8022.0,193986442.0,1335537.0,816465.0,1564268648.0,1247.0,1405.0,36607,17210,1123,435.0,1223,456,618
S,H,ATTR,ATTRH-SM-16jul20,12187.0,291503765.0,1062999.0,698699.0,1509829136.0,1789.0,1491.0,64111,2037,268,384.0,397,148,112
S,H,ATTR,ATTRH-SM-26apr22,7897.0,167109783.0,1014150.0,252013.0,1285007742.0,1449.0,2641.0,42815,8402,435,669.0,937,135,295
S,E,AYDT,AYDTE-SM-23may22,7941.0,187354169.0,1035746.0,379212.0,1330342371.0,1450.0,3647.0,33210,10842,929,1234.0,1469,423,489
S,E,AYDT,AYDTE-SM-23sep21,10817.0,236874444.0,1148948.0,704510.0,1562626915.0,1667.0,3755.0,48992,17649,627,1236.0,1363,143,471
