nom_fichier;Total_length;number_of_contigs;Average_length
AMADPM.fasta;10551720;1670;6318.4
ARCAPM.fasta;18501960;3210;5763.85
ATTRPM.fasta;34682820;5875;5903.46
AYDTPM.fasta;23317680;4024;5794.65
BALMPM.fasta;28630620;4830;5927.66
BANYPM.fasta;11142960;1794;6211.24
BRTLPM.fasta;26473080;4709;5621.81
CADAPM.fasta;20902140;3047;6859.91
CEPXPM.fasta;34714845;5127;6770.99
CERNPM.fasta;10658160;1483;7186.89
CERTPM.fasta;14633700;2220;6591.76
CINCPM.fasta;12414600;1725;7196.87
CLAYPM.fasta;8124180;1225;6631.98
CONSPM.fasta;26270580;4468;5879.72
CRUZPM.fasta;8638680;1196;7222.98
EDVLPM.fasta;10581720;1647;6424.85
ERKEPM.fasta;16894320;3006;5620.2
FANTPM.fasta;14338260;2539;5647.21
FERTPM.fasta;3853680;690;5585.04
FUNEPM.fasta;14415960;1808;7973.43
FUSWPM.fasta;6089760;843;7223.91
GARDPM.fasta;11600220;1873;6193.39
GOSKPM.fasta;27408780;3239;8462.11
GREFPM.fasta;50661720;8204;6175.25
HALLPM.fasta;29993700;5570;5384.87
JIRKPM.fasta;14339220;2433;5893.64
KASTPM.fasta;15601080;2964;5263.52
KLICPM.fasta;56596080;10503;5388.56
KOZKPM.fasta;19127580;2601;7353.93
KUCXPM.fasta;27512220;5212;5278.63
LANDPM.fasta;37115520;6020;6165.37
LUGAPM.fasta;16579500;2796;5929.72
MAGGPM.fasta;9224520;1503;6137.41
MAJCPM.fasta;24356220;4520;5388.54
MALAPM.fasta;16778820;3218;5214.05
MARKPM.fasta;6747480;1239;5445.91
MEDDPM.fasta;93473700;16601;5630.61
MILAPM.fasta;47505600;7670;6193.69
MONDPM.fasta;38319780;6449;5941.97
MOSTPM.fasta;112891980;19756;5714.31
NMUSPM.fasta;1664280;229;7267.6
NVALPM.fasta;8124360;1145;7095.51
ORTAPM.fasta;11749320;1666;7052.41
PAMVPM.fasta;7187760;1066;6742.74
PAVNPM.fasta;13501920;2186;6176.54
PEPSPM.fasta;8624820;1538;5607.82
PIBRPM.fasta;28580280;4904;5827.95
PLESPM.fasta;13446720;1765;7618.54
PRSCPM.fasta;24488460;3466;7065.34
RIMVPM.fasta;65623680;11358;5777.75
ROSXPM.fasta;20479560;3530;5801.58
SANAPM.fasta;1555500;192;8101.56
SLAPPM.fasta;49576020;9626;5150.22
SMAUPM.fasta;8025300;1109;7236.52
STECPM.fasta;22206960;3698;6005.13
STIUPM.fasta;6299040;975;6460.55
SZYMPM.fasta;14505900;2259;6421.38
TARNPM.fasta;13229580;2198;6018.92
THUNPM.fasta;25207020;4363;5777.45
TIEFPM.fasta;33189180;5958;5570.52
TOTRPM.fasta;16784220;2708;6198.01
TOUSPM.fasta;8848860;1600;5530.54
TRAUPM.fasta;41344080;7668;5391.77
TRCHPM.fasta;10934940;1769;6181.42
TSKOPM.fasta;15970920;2836;5631.5
VANNPM.fasta;11781960;2138;5510.74
VATTPM.fasta;17238660;2766;6232.34
VECHPM.fasta;24015720;4121;5827.64
VELNPM.fasta;5676480;950;5975.24
VOLVPM.fasta;16150920;2816;5735.41
VORTPM.fasta;6733620;1167;5770.03
VRNCPM.fasta;16356900;2355;6945.61
VRNZPM.fasta;5961840;701;8504.76
VSVKPM.fasta;8727060;1301;6707.96
WOLFPM.fasta;37171260;6483;5733.65
ZLUTPM.fasta;100985400;18093;5581.46
ZURIPM.fasta;19298340;3331;5793.56
