Name,Sequence Name,Minimum,Maximum,Length,Direction
4.5S gene,Bin_PAMV_8_16-contigsc0145,3271,3319,49,forward
4.5S gene,GroupDREPX942_Annotated_Unfinished,120985,121084,100,forward
16rrn | 16S rRNA gene,Consensus,230854,232339,1486,forward
16rrn | 16S rRNA | 16S | rns1 | rrsA | rns2 | rrsB gene,Bin_CRUZ_15_22-contigsc0011,1,784,784,forward
16rrn | rrn16S gene,Bin_LUGA_27_5_1-contigsc0012,21271,21313,43,reverse
16rrn-fragment gene,Bin_MILA_54_4_1-contigsc0036,38048,38343,296,forward
16rrn-fragment gene,GroupDREPX942_Annotated_Unfinished,16294,16601,308,forward
16S gene,Bin_CEPX_5_1_13-contigsc0034,46789,47084,296,reverse
16S gene,Bin_SZYM_18_24-contigsc0004,2241,2855,615,reverse
16S gene,Bin_GOSK_24_30-contigsc0079,17417,17658,242,forward
16s gene,Contig 4,25204,25302,99,forward
16S gene,Bin_FUNE_56_6-contigsc0004,92064,92235,172,forward
16S rRNA-fragment gene,GroupDREPX942_Annotated_Unfinished,275653,276152,500,forward
16S-fragment gene,Bin_BRTL_49_5_6-contigsc0002,158684,158848,165,forward
16S-fragment gene,Consensus,128123,128988,866,reverse
16S-rRNA gene,Contig 9,46178,46444,267,reverse
16S-rRNA gene,Bin_FUNE_4_12-contigsc0035,217,345,129,forward
16S-rRNA gene,GroupDREPX942_Annotated_Unfinished,274869,275088,220,forward
16S-rRNA gene,GroupDREPX942_Annotated_Unfinished,179535,179754,220,reverse
16S-rRNA-fragment gene,Bin_GOSK_44_8-contigsc0001,99451,99647,197,forward
16S-rRNA-fragment gene,Consensus,129189,129478,290,reverse
16SrRNA-fragment gene,Consensus,39603,39991,389,reverse
16SrRNA-fragment | 16S rRNA-fragment | rrn16S 1-fragment | rrn16S 2-fragment gene,GroupDREPX942_Annotated_Unfinished,275463,275612,150,forward
16SrRNA-fragment | 16S rRNA-fragment | rrn16S 1-fragment | rrn16S 2-fragment gene,GroupDREPX942_Annotated_Unfinished,179011,179160,150,reverse
23rrn | 23S gene,Contig 3,387,950,564,reverse
23rrn | 23S gene,Contig 2,102999,103265,267,reverse
23rrn | 23S gene,Bin_MEDD_134_5_3-contigsc0007,116542,116808,267,forward
23S gene,Bin_GOSK_24_30-contigsc0079,18773,18892,120,forward
23S gene,Bin_PAMV_8_16-contigsc0145,1410,1819,410,forward
23S gene,Bin_ZLUT_170_6_34-contigsc0168,99313,99579,267,reverse
23S gene,Bin_NVAL_39_45-contigsc0612,48592,48814,223,reverse
23S rRNA gene,Bin_GOSK_24_30-contigsc0079,19699,19808,110,forward
23S rRNA gene,GroupDREPX771_Annotated_Unfinished,43898,44217,320,reverse
23S rRNA gene,Consensus,89035,89157,123,reverse
23S rRNA gene,Consensus,5408,5581,174,reverse
23S rRNA | 23rrn | rrn26S gene,Consensus,19087,19343,257,reverse
23S rRNA-fragment gene,UnusedGroupDREPX475_Annotated_Unfinished,112691,113001,311,reverse
23S | 23rrn | rrlB | 23S rRNA gene,Bin_PIBR_42_47-contigsc0248,4641,4869,229,reverse
23S | rrn26S gene,Consensus,84035,84328,294,forward
23S-rRNA gene,Contig 2,103415,103460,46,reverse
23S-rRNA gene,Contig 2,11051,11096,46,reverse
23S-rRNA gene,Bin_MEDD_134_5_3-contigsc0007,24682,24903,222,forward
23S-rRNA gene,Bin_MEDD_134_5_3-contigsc0007,23946,23991,46,forward
23S-rRNA gene,Bin_MEDD_134_5_3-contigsc0007,116347,116392,46,forward
23S-rRNA | rrl gene,Bin_FUNE_65_68-contigsc0005,105139,105304,166,reverse
23S-rRNA | rrl gene,Contig 1,104711,104876,166,reverse
23SrRNA gene,GroupDREPX942_Annotated_Unfinished,118130,118376,247,forward
23SrRNA gene,GroupDREPX942_Annotated_Unfinished,11717,11963,247,reverse
