ID;Internal ID;;;;RbcL_ID;RbcL_based_taxa;Type
CP000828_1456;N0;;;;ptMAG_rbcL_99;Chrysophyceae;This study
CP083582_1461;N-1;;;;ptMAG_rbcL_98;Chrysophyceae;This study
CP124543_1466;N1056;;;;ptMAG_rbcL_97;Xanthophyceae;This study
CP051206_1460;N1055;;;;ptMAG_rbcL_96;Chrysophyceae;This study
CP003659_1459;N1057;;;;ptMAG_rbcL_95;Chrysophyceae;This study
CP002059_1457;N1168;;;;ptMAG_rbcL_94;Chrysophyceae;This study
CP003614_1458;N1046;;;;ptMAG_rbcL_93;Chrysophyceae;This study
CP112874_1462;N1045;;;;ptMAG_rbcL_92;Chrysophyceae;This study
CP017675_1463;N1058;;;;ptMAG_rbcL_91;Chrysophyceae;This study
CP020771_1465;N2548;;;;ptMAG_rbcL_90;Chrysophyceae;This study
CP001287_1464;N1169;;;;ptMAG_rbcL_9;Diatoms;This study
CP003947_1467;N1048;;;;ptMAG_rbcL_89;Chrysophyceae;This study
MN049191.1_332;N1034;;;;ptMAG_rbcL_88;Chrysophyceae;This study
U21668.1_958;N1033;;;;ptMAG_rbcL_87;Chrysophyceae;This study
LC781622_1292;N1152;;;;ptMAG_rbcL_86;Pelagophyceae;This study
AB491670.1_1028;N1059;;;;ptMAG_rbcL_85;Chrysophyceae;This study
NC_001675_1324;N2574;;;;ptMAG_rbcL_84;Pelagophyceae;This study
NC_038215_1377;N2549;;;;ptMAG_rbcL_83;Chrysophyceae;This study
NC_038216_1378;N2499;;;;ptMAG_rbcL_82;Chrysophyceae;This study
NC_024169_1338;N1170;;;;ptMAG_rbcL_81;Chrysophyceae;This study
NC_024167_1337;N1049;;;;ptMAG_rbcL_80;Chrysophyceae;This study
ptMAG_rbcL_159_222;N1052;;;;ptMAG_rbcL_8;Dictyochophyceae;This study
KM197120.1_793;N1035;;;;ptMAG_rbcL_79;Chrysophyceae;This study
HQ613263.1_733;N1038;;;;ptMAG_rbcL_78;Chrysophyceae;This study
KU646490_1279;N1031;;;;ptMAG_rbcL_77;Chrysophyceae;This study
AF494278_1229;N1153;;;;ptMAG_rbcL_76;Chrysophyceae;This study
KU646493_1280;N1060;;;;ptMAG_rbcL_75;Cryptophyceae;This study
NC_002186_1325;N2576;;;;ptMAG_rbcL_74;Chrysophyceae;This study
NC_008822_1328;N2567;;;;ptMAG_rbcL_73;Chrysophyceae;This study
ptMAG_rbcL_132_195;N2550;;;;ptMAG_rbcL_72;Chrysophyceae;This study
ptMAG_rbcL_185_248;N2500;;;;ptMAG_rbcL_71;Cryptophyceae;This study
ptMAG_rbcL_193_256;N2507;;;;ptMAG_rbcL_70;Cryptophyceae;This study
GroupDREPX1331_Consensus_-_rbcL_gene_53;N2488;;;;ptMAG_rbcL_7;Diatoms;This study
ptMAG_rbcL_138_201;N1171;;;;ptMAG_rbcL_69;Chrysophyceae;This study
ptMAG_rbcL_139_202;N1039;;;;ptMAG_rbcL_68;Chrysophyceae;This study
KJ461681_1248;N1020;;;;ptMAG_rbcL_67;Chrysophyceae;This study
ptMAG_rbcL_122_185;N1019;;;;ptMAG_rbcL_66;Chrysophyceae;This study
ptMAG_rbcL_123_186;N1155;;;;ptMAG_rbcL_65;Chrysophyceae;This study
GroupDREPX124_Contig_1_-_rbcL_gene_2;N1061;;;;ptMAG_rbcL_64;Chrysophyceae;This study
MT896722_1321;N1088;;;;ptMAG_rbcL_63;Cryptophyceae;This study
ptMAG_rbcL_124_187;N2586;;;;ptMAG_rbcL_62;Chrysophyceae;This study
GroupDREPX942_Annotated_Unfinished_-_rbcL_gene_43;N2577;;;;ptMAG_rbcL_61;Chrysophyceae;This study
AY958085_1235;N2568;;;;ptMAG_rbcL_60;Chrysophyceae;This study
ptMAG_rbcL_187_250;N2571;;;;ptMAG_rbcL_6;Chrysophyceae;This study
ptMAG_rbcL_121_184;N2564;;;;ptMAG_rbcL_59;Chrysophyceae;This study
NC_030314_1224;N2551;;;;ptMAG_rbcL_58;Pelagophyceae;This study
ptMAG_rbcL_125_188;N2502;;;;ptMAG_rbcL_57;Chrysophyceae;This study
NC_030356_1370;N2508;;;;ptMAG_rbcL_56;Chrysophyceae;This study
NC_030355_1369;N2519;;;;ptMAG_rbcL_55;Cryptophyceae;This study
NC_030359_1371;N2489;;;;ptMAG_rbcL_54;Chrysophyceae;This study
AY958086_1236;N2494;;;;ptMAG_rbcL_53;Chrysophyceae;This study
OP888486_1430;N2485;;;;ptMAG_rbcL_52;Chrysophyceae;This study
OQ935591_1212;N1172;;;;ptMAG_rbcL_51;Haptophyta;This study
ptMAG_rbcL_119_182;N1040;;;;ptMAG_rbcL_50;Chrysophyceae;This study
ptMAG_rbcL_199_262;N1028;;;;ptMAG_rbcL_5;Chrysophyceae;This study
ptMAG_rbcL_181_244;N1021;;;;ptMAG_rbcL_49;Chrysophyceae;This study
KX306884_1283;N2592;;;;ptMAG_rbcL_48;Chrysophyceae;This study
NC_008097_1326;N1018;;;;ptMAG_rbcL_47;Dictyochophyceae;This study
MW556321_1323;N1156;;;;ptMAG_rbcL_46;Chrysophyceae;This study
NC_024828_1339;N1161;;;;ptMAG_rbcL_45;Chrysophyceae;This study
NC_042488_1395;N1079;;;;ptMAG_rbcL_44;Cryptophyceae;This study
MK085997_1314;N1062;;;;ptMAG_rbcL_43;Chrysophyceae;This study
MK085989_1311;N1148;;;;ptMAG_rbcL_42;Cryptophyceae;This study
MK085986_1310;N1089;;;;ptMAG_rbcL_41;Dictyochophyceae;This study
NC_027093_1354;N2588;;;;ptMAG_rbcL_40;Chrysophyceae;This study
NC_025530_1345;N2579;;;;ptMAG_rbcL_4;Chrysophyceae;This study
FJ968740_1239;N2559;;;;ptMAG_rbcL_39;Haptophyta;This study
KM462870_1257;N2552;;;;ptMAG_rbcL_38;Raphidophyceae;This study
KR822596.1_771;N2504;;;;ptMAG_rbcL_37;Cryptophyceae;This study
AB561085.1_990;N2509;;;;ptMAG_rbcL_36;Chrysophyceae;This study
U30288.1_953;N2512;;;;ptMAG_rbcL_35;Diatoms;This study
OL684559.1_410;N2545;;;;ptMAG_rbcL_34;Diatoms;This study
AY257109.1_714;N2520;;;;ptMAG_rbcL_33;Diatoms;This study
KY407657_1216;N2490;;;;ptMAG_rbcL_32;Diatoms;This study
AY257110.1_713;N2495;;;;ptMAG_rbcL_31;Diatoms;This study
MK408749_1439;N2192;;;;ptMAG_rbcL_30;Dictyochophyceae;This study
JN573804.1_966;N1173;;;;ptMAG_rbcL_3;Diatoms;This study
OQ349516_1447;N1022;;;;ptMAG_rbcL_29;Diatoms;This study
AY257122.1_711;N2593;;;;ptMAG_rbcL_28;Diatoms;This study
MG721795.1_575;N2602;;;;ptMAG_rbcL_27;Diatoms;This study
ptMAG_rbcL_182_245;N1009;;;;ptMAG_rbcL_26;Bolidophyceae;This study
KY407661_1286;N1008;;;;ptMAG_rbcL_25;Diatoms;This study
AY835431_1213;N1157;;;;ptMAG_rbcL_24;Diatoms;This study
AF499683.1_655;N1162;;;;ptMAG_rbcL_232;Chlorophyceae;This study
NC_034709_1217;N1080;;;;ptMAG_rbcL_231;Haptophyta;This study
KX268523.1_757;N1063;;;;ptMAG_rbcL_230;Chrysophyceae;This study
OQ159090_1431;N1091;;;;ptMAG_rbcL_23;Diatoms;This study
KX306821_1214;N2580;;;;ptMAG_rbcL_229;Dictyochophyceae;This study
KX306824_1215;N2561;;;;ptMAG_rbcL_228;Trebouxiophyceae;This study
NC_043776_1442;N2554;;;;ptMAG_rbcL_227;Trebouxiophyceae;This study
MZ334625_1441;N2514;;;;ptMAG_rbcL_226;Dictyochophyceae;This study
NC_060532_1219;N2521;;;;ptMAG_rbcL_225;Chrysophyceae;This study
