ID;Internal ID;;;;RbcL_ID;RbcL_based_taxa;;;RbcL_ID2;RbcL_based_taxa2;;;;RbcL_ID3;RbcL_based_taxa3
CP000828_1456;N0;;;;ptMAG_rbcL_99;Chrysophyceae;;;LC648957;Cryptophyceae;;;;NC_026851;Eustigmatophyceae
CP083582_1461;N-1;;;;ptMAG_rbcL_98;Chrysophyceae;;;AB164409.1;Cryptophyceae;;;;NC_027746;Bolidophyceae
CP124543_1466;N1056;;;;ptMAG_rbcL_97;Xanthophyceae;;;AB164408.1;Cryptophyceae;;;;NC_056910;Chrysophyceae
CP051206_1460;N1055;;;;ptMAG_rbcL_96;Chrysophyceae;;;ptMAG_rbcL_44;Cryptophyceae;;;;MG755808;Mediophyceae
CP003659_1459;N1057;;;;ptMAG_rbcL_95;Chrysophyceae;;;ptMAG_rbcL_126;Cryptophyceae;;;;CP000828;Cyanophyceae
CP002059_1457;N1168;;;;ptMAG_rbcL_94;Chrysophyceae;;;AF041468;Cryptophyceae;;;;MG755799;Coscinodiscophyceae
CP003614_1458;N1046;;;;ptMAG_rbcL_93;Chrysophyceae;;;MK798155;Cryptophyceae;;;;OM827248;Coscinodiscophyceae
CP112874_1462;N1045;;;;ptMAG_rbcL_92;Chrysophyceae;;;LC648962;Cryptophyceae;;;;LC781622;Chlorarachniophyceae
CP017675_1463;N1058;;;;ptMAG_rbcL_91;Chrysophyceae;;;LC648964;Cryptophyceae;;;;CP003659;Cyanophyceae
CP020771_1465;N2548;;;;ptMAG_rbcL_90;Chrysophyceae;;;LC648955;Cryptophyceae;;;;NC_029735;Chlorophyceae
CP001287_1464;N1169;;;;ptMAG_rbcL_9;Diatoms;;;KY860574;Cryptophyceae;;;;MN701585;Chlorophyceae
CP003947_1467;N1048;;;;ptMAG_rbcL_89;Chrysophyceae;;;ptMAG_rbcL_109;Cryptophyceae;;;;MN659373;Chlorophyceae
MN049191.1_332;N1034;;;;ptMAG_rbcL_88;Chrysophyceae;;;KT428890;Cryptophyceae;;;;MK995333;Chlorophyceae
U21668.1_958;N1033;;;;ptMAG_rbcL_87;Chrysophyceae;;;LC648958;Cryptophyceae;;;;OQ694381;Bacillariophyceae
